ID,이름,현재.상태,생년월일,samename_check
94233,김광현,은퇴,1971년 10월 07일,1군기록없음
77829,김광현,KBO,1988년 07월 22일,10_16_18_19_SK
62356,김규민,KBO,1993년 01월 26일,
66112,김기연,KBO,1997년 09월 07일,
86303,김기태,은퇴,1952년 10월 16일,1군기록없음
76461,김기태,은퇴,1987년 05월 11일,12_16_18_삼성
91803,김기태,은퇴,1969년 05월 23일,1군기록없음
76119,김기표,은퇴,1983년 04월 25일,
62919,김기현,은퇴,1989년 04월 03일,14_15_한화
77869,김기현,은퇴,1987년 05월 09일,15_16_SK
69620,김기훈,KBO,2000년 01월 03일,
77314,김남형,은퇴,1988년 05월 08일,
78765,김다원,은퇴,1985년 09월 17일,
65513,김대륙,은퇴,1992년 04월 03일,
78536,김대우,Futures,1984년 07월 26일,10_18_롯데
61365,김대우,KBO,1988년 11월 21일,11_14_15_키움_16_19_삼성
61812,김대유,은퇴,1983년 06월 13일,1군기록없음
60337,김대유,KBO,1991년 05월 08일,14_17_SK_19_KT
69238,김대한,KBO,2000년 12월 06일,
86993,김대현,은퇴,1962년 06월 16일,1군기록없음
66145,김대현,KBO,1997년 03월 08일,16_19_LG
66098,김도영,은퇴,1993년 01월 26일,
61360,김도현,KBO,1992년 10월 23일,
63902,김도환,은퇴,1990년 02월 23일,1군기록없음
69442,김도환,KBO,2000년 04월 14일,19_삼성
71806,김동건,은퇴,1982년 03월 07일,13_NC
74368,김동건,은퇴,1984년 08월 08일,1군기록없음
60296,김동길,은퇴,1987년 03월 01일,
66838,김동엽,KBO,1990년 07월 24일,
63168,김동영,은퇴,1989년 08월 08일,1군기록없음
79952,김동영,은퇴,1990년 05월 12일,1군기록없음
62026,김동영,은퇴,1991년 08월 03일,1군기록없음
75739,김동영,은퇴,1985년 04월 02일,10_한화
77462,김동욱,은퇴,1988년 06월 24일,
98218,김동주,은퇴,1976년 02월 03일,
62360,김동준,KBO,1992년 03월 02일,
61204,김동한,KBO,1988년 06월 24일,
97629,김동호,은퇴,1973년 05월 24일,1군기록없음
79791,김동호,은퇴,1985년 09월 10일,16_17_삼성
65044,김만수,은퇴,1996년 04월 18일,
61527,김명성,은퇴,1988년 04월 08일,11_롯데_13_15_두산
84799,김명성,은퇴,1961년 08월 24일,1군기록없음
67246,김명신,은퇴,1993년 11월 29일,
65696,김명찬,Futures,1992년 10월 24일,
76509,김문호,KBO,1987년 06월 22일,
68043,김민,KBO,1999년 04월 14일,18_19_KT
62340,김민,은퇴,1989년 07월 24일,1군기록없음
62039,김민,Futures,1989년 07월 24일,1군기록없음
60055,김민겸,은퇴,1986년 10월 19일,
94821,김민국,은퇴,1972년 05월 27일,
72767,김민규,은퇴,1979년 07월 04일,1군기록없음
68200,김민규,KBO,1999년 05월 07일,18_19_두산
68707,김민기,KBO,1999년 06월 12일,1군기록없음
97111,김민기,은퇴,1977년 05월 19일,1군기록없음
93367,김민범,은퇴,1973년 06월 07일,
69704,김민석,Futures,1999년 07월 30일,1군기록없음
65401,김민석,은퇴,1995년 07월 10일,1군기록없음
67094,김민섭,Futures,1994년 07월 23일,1군기록없음
61694,김민섭,은퇴,1990년 09월 09일,1군기록없음
71238,김민성,은퇴,1980년 12월 03일,1군기록없음
77564,김민성,KBO,1988년 12월 17일,10_18_키움_19_LG
67001,김민성,은퇴,1994년 03월 21일,1군기록없음
63669,김민성,은퇴,1988년 03월 30일,1군기록없음
67504,김민수,Futures,1998년 03월 18일,17_롯데
69627,김민수,Futures,2000년 04월 05일,1군기록없음
67900,김민수,은퇴,1998년 07월 16일,1군기록없음
64793,김민수,KBO,1991년 03월 02일,14_한화_17_19_삼성
69500,김민수,Futures,1996년 06월 11일,1군기록없음
72457,김민수,은퇴,1979년 08월 01일,1군기록없음
65048,김민수,KBO,1992년 07월 24일,15_16_18_19_KT
62864,김민식,KBO,1989년 06월 28일,
66007,김민우,은퇴,1997년 10월 17일,1군기록없음
99442,김민우,은퇴,1980년 03월 30일,1군기록없음
65764,김민우,KBO,1995년 07월 25일,15_19_한화
72303,김민우,은퇴,1979년 03월 21일,10_13_키움_14_16_기아
63339,김민준,은퇴,1994년 02월 12일,15_17_키움
62003,김민준,은퇴,1988년 04월 09일,1군기록없음
61554,김민하,KBO,1989년 02월 25일,
65269,김민혁,KBO,1996년 05월 03일,17_18_두산
64004,김민혁,KBO,1995년 11월 21일,15_16_19_KT
65769,김범수,KBO,1995년 10월 03일,
62349,김병현,은퇴,1979년 01월 19일,1군기록없음
67768,김병현,은퇴,1998년 04월 15일,12_13_키움_14_15_기아
99563,김사율,은퇴,1980년 04월 17일,
61591,김사훈,KBO,1987년 06월 18일,
79402,김상수,KBO,1990년 03월 23일,10_19_삼성
76430,김상수,KBO,1988년 01월 02일,10_19_키움
65305,김상현,Futures,1996년 04월 18일,1군기록없음
97527,김상현,은퇴,1974년 04월 08일,1군기록없음
92502,김상현,은퇴,1968년 04월 28일,1군기록없음
70646,김상현,은퇴,1980년 11월 12일,10_12_기아_13_14_SK_15_16_KT
98845,김상호,은퇴,1975년 03월 11일,1군기록없음
62559,김상호,은퇴,1989년 05월 10일,12_13_16_17_롯데
88110,김상호,은퇴,1965년 10월 19일,1군기록없음
60265,김상훈,은퇴,1990년 03월 16일,1군기록없음
84112,김상훈,은퇴,1960년 07월 06일,1군기록없음
70612,김상훈,은퇴,1977년 10월 27일,10_14_기아
67610,김석환,KBO,1999년 02월 28일,
75852,김선규,은퇴,1986년 04월 20일,
66018,김선기,KBO,1991년 09월 01일,
78603,김선빈,KBO,1989년 12월 18일,
78232,김선우,은퇴,1977년 09월 04일,10_13_두산_14_LG
93362,김선우,은퇴,1973년 07월 02일,1군기록없음
68416,김선우,Futures,1995년 05월 11일,1군기록없음
74651,김성계,은퇴,1985년 05월 23일,
67828,김성민,KBO,1994년 04월 26일,17_19_키움
69860,김성민,KBO,1993년 05월 12일,19_SK
66627,김성민,은퇴,1997년 08월 18일,1군기록없음
73226,김성배,은퇴,1981년 01월 12일,
62934,김성욱,KBO,1993년 05월 01일,
64023,김성윤,은퇴,1991년 06월 15일,1군기록없음
67449,김성윤,은퇴,1999년 02월 02일,17_18_삼성
90414,김성재,은퇴,1966년 10월 08일,1군기록없음
66565,김성재,은퇴,1993년 12월 23일,16_롯데
70345,김성태,은퇴,1982년 01월 03일,10_11_키움
94312,김성태,은퇴,1971년 10월 10일,1군기록없음
78353,김성현,은퇴,1989년 01월 03일,10_키움_11_LG
86510,김성현,은퇴,1963년 08월 21일,1군기록없음
66397,김성현,은퇴,1996년 10월 24일,1군기록없음
76802,김성현,KBO,1987년 03월 09일,11_19_SK
65619,김성현,은퇴,1991년 02월 23일,1군기록없음
62591,김성호,은퇴,1989년 03월 14일,12_롯데
64715,김성호,은퇴,1990년 09월 11일,1군기록없음
80013,김성호,은퇴,1960년 03월 26일,1군기록없음
80014,김성호,은퇴,1955년 09월 01일,1군기록없음
74642,김성호,은퇴,1981년 04월 30일,1군기록없음
63994,김성호,은퇴,1990년 07월 30일,1군기록없음
76829,김성훈,은퇴,1987년 05월 08일,1군기록없음
69098,김성훈,Futures,1996년 02월 25일,1군기록없음
66462,김성훈,KBO,1993년 10월 27일,17_19_삼성
67762,김성훈,KBO,1998년 02월 04일,18_19_한화
76350,김세현,KBO,1987년 08월 07일,
98330,김수경,은퇴,1979년 08월 20일,
78550,김수완,은퇴,1989년 07월 20일,
68616,김승범,KBO,1998년 12월 07일,
67208,김승현,은퇴,1998년 02월 13일,1군기록없음
63608,김승현,은퇴,1987년 03월 11일,1군기록없음
63794,김승현,은퇴,1994년 03월 11일,1군기록없음
66492,김승현,KBO,1992년 07월 09일,16_19_삼성
73248,김승회,KBO,1981년 02월 11일,
67467,김시현,KBO,1998년 09월 26일,
77609,김연훈,은퇴,1984년 12월 23일,
68900,김영규,KBO,2000년 02월 10일,
68130,김영준,KBO,1999년 01월 12일,
63448,김영환,KBO,1993년 01월 31일,
62407,김영훈,은퇴,1989년 03월 24일,
76868,김용섭,은퇴,1983년 01월 18일,11_SK
64714,김용섭,은퇴,1992년 01월 20일,1군기록없음
78217,김용의,KBO,1985년 08월 20일,
60764,김용주,KBO,1991년 10월 23일,
68453,김용하,KBO,1999년 07월 27일,
61710,김용호,은퇴,1986년 03월 29일,
65898,김웅빈,Futures,1996년 02월 09일,
62768,김원석,은퇴,1989년 10월 29일,
71207,김원섭,은퇴,1978년 12월 18일,
62528,김원중,KBO,1993년 06월 14일,
91848,김원형,은퇴,1972년 07월 05일,
68659,김유신,Futures,1999년 06월 14일,18_기아
76550,김유신,은퇴,1986년 05월 01일,1군기록없음
64596,김유영,Futures,1994년 05월 02일,
62648,김윤동,KBO,1993년 04월 01일,
68403,김윤수,KBO,1999년 12월 08일,
84610,김윤환,은퇴,1957년 08월 01일,1군기록없음
64396,김윤환,은퇴,1995년 11월 20일,16_키움
65304,김은성,KBO,1993년 03월 07일,
60288,김응민,KBO,1991년 10월 22일,
69745,김이환,KBO,2000년 09월 13일,
63257,김인태,KBO,1994년 07월 03일,
66715,김인환,KBO,1994년 01월 28일,
97300,김일경,은퇴,1978년 07월 01일,
78543,김일엽,은퇴,1980년 02월 15일,
68908,김재균,Futures,1999년 01월 17일,
63125,김재민,은퇴,1991년 01월 28일,
92702,김재성,은퇴,1969년 05월 27일,1군기록없음
65132,김재성,KBO,1996년 10월 30일,15_LG
66741,김재영,KBO,1993년 07월 22일,
60466,김재우,은퇴,1987년 07월 04일,1군기록없음
60759,김재우,은퇴,1991년 10월 22일,10_한화
65506,김재유,Futures,1992년 08월 07일,
65062,김재윤,KBO,1990년 09월 16일,
61114,김재율,KBO,1989년 01월 14일,
62332,김재현,Futures,1993년 03월 18일,15_18_키움
63045,김재현,Futures,1988년 08월 31일,1군기록없음
64499,김재현,KBO,1991년 08월 30일,14_19_삼성
94107,김재현,은퇴,1975년 10월 02일,10_SK
82303,김재현,은퇴,1959년 03월 03일,1군기록없음
98776,김재현,은퇴,1979년 09월 07일,10_한화
76869,김재현,KBO,1987년 11월 07일,12_19_SK
74206,김재호,KBO,1985년 03월 21일,
78224,김재환,KBO,1988년 09월 22일,
79868,김정남,은퇴,1986년 11월 22일,
63894,김정빈,Futures,1994년 06월 08일,
68830,김정우,KBO,1999년 05월 15일,
65392,김정인,Futures,1996년 06월 03일,
61463,김정혁,은퇴,1985년 08월 03일,11_14_17_삼성
79903,김정혁,은퇴,1985년 08월 03일,1군기록없음
72548,김정현,은퇴,1979년 05월 27일,
61962,김정후,KBO,1988년 09월 26일,
89610,김정훈,은퇴,1970년 07월 29일,1군기록없음
96113,김정훈,은퇴,1976년 05월 05일,1군기록없음
60860,김정훈,은퇴,1987년 05월 23일,11_13_14_SK
93550,김정훈,은퇴,1970년 04월 06일,1군기록없음
66392,김종덕,KBO,1993년 05월 12일,
79364,김종민,KBO,1986년 03월 30일,15_16_KT_17_18_NC_19_한화
63560,김종민,은퇴,1994년 08월 27일,1군기록없음
74817,김종민,은퇴,1981년 06월 30일,1군기록없음
63765,김종수,KBO,1994년 06월 03일,18_19_한화
97383,김종수,은퇴,1957년 03월 15일,1군기록없음
60032,김종찬,은퇴,1987년 07월 22일,
77454,김종호,은퇴,1984년 05월 31일,
94539,김종훈,은퇴,1972년 01월 29일,1군기록없음
62696,김종훈,은퇴,1989년 04월 18일,12_17_기아
66162,김주성,은퇴,1998년 01월 30일,17_LG
94812,김주성,은퇴,1972년 05월 05일,1군기록없음
70410,김주찬,KBO,1981년 03월 25일,
66859,김주한,KBO,1993년 02월 03일,
78413,김주현,은퇴,1986년 01월 22일,1군기록없음
66749,김주현,Futures,1993년 12월 21일,16_17_한화
77669,김주현,은퇴,1988년 04월 16일,14_17_롯데
69306,김주형,KBO,1996년 03월 05일,19_키움
74605,김주형,KBO,1985년 12월 15일,11_18_기아
78823,김준,은퇴,1985년 10월 08일,
76667,김준무,은퇴,1987년 07월 28일,
69394,김준연,Futures,1995년 11월 02일,
63920,김준완,Futures,1991년 01월 20일,
64569,김준용,은퇴,1991년 08월 15일,
69404,김준우,Futures,1999년 05월 31일,
62558,김준태,KBO,1994년 07월 31일,
66943,김준현,은퇴,1997년 02월 22일,
77156,김준호,은퇴,1984년 03월 03일,10_LG_11_한화
60260,김준호,은퇴,1991년 12월 09일,1군기록없음
62413,김준호,은퇴,1989년 11월 25일,1군기록없음
95914,김준환,은퇴,1955년 05월 19일,
61402,김준희,은퇴,1988년 08월 18일,1군기록없음
85994,김준희,은퇴,1960년 05월 16일,1군기록없음
62007,김지성,은퇴,1985년 07월 20일,12_16_LG_17_18_기아
70358,김지성,은퇴,1981년 06월 24일,1군기록없음
79300,김지수,KBO,1986년 08월 23일,10_13_19_키움
65503,김지수,Futures,1996년 10월 29일,16_롯데
78753,김지열,은퇴,1988년 08월 09일,
60181,김지용,KBO,1988년 02월 20일,
62430,김지훈,은퇴,1993년 03월 19일,1군기록없음
64640,김지훈,은퇴,1992년 04월 16일,14_기아
67708,김지훈,은퇴,1998년 07월 07일,1군기록없음
60493,김지훈,은퇴,1991년 05월 08일,1군기록없음
98457,김지훈,은퇴,1973년 09월 02일,1군기록없음
63088,김진곤,KBO,1987년 09월 10일,
75867,김진성,KBO,1985년 03월 07일,
67737,김진영,KBO,1992년 04월 16일,
72641,김진우,은퇴,1983년 03월 07일,11_17_기아
80030,김진우,은퇴,1958년 09월 24일,1군기록없음
68701,김진욱,KBO,2000년 01월 13일,18_19_한화
84214,김진욱,은퇴,1960년 08월 05일,1군기록없음
79234,김진형,KBO,1990년 06월 07일,
66917,김찬형,KBO,1997년 12월 29일,
66801,김찬호,Futures,1997년 03월 10일,
69825,김창평,KBO,2000년 06월 14일,
60184,김창혁,KBO,1991년 05월 17일,
74728,김창훈,은퇴,1985년 10월 03일,
68906,김철호,KBO,1998년 02월 06일,
78122,김태군,Futures,1989년 12월 30일,
94415,김태균,은퇴,1971년 08월 19일,1군기록없음
71752,김태균,KBO,1982년 05월 29일,12_19_한화
66704,김태연,KBO,1997년 06월 10일,
71255,김태영,은퇴,1980년 04월 07일,11_13_두산_14_15_기아
66114,김태영,Futures,1997년 07월 04일,1군기록없음
66064,김태오,KBO,1997년 07월 29일,
66303,김태완,은퇴,1993년 02월 03일,1군기록없음
74158,김태완,은퇴,1981년 09월 19일,10_12_LG_13_16_삼성
76746,김태완,은퇴,1984년 01월 27일,10_16_한화_17_18_키움
89611,김태완,은퇴,1966년 08월 20일,1군기록없음
62927,김태우,은퇴,1989년 07월 23일,13_14_17_NC
68454,김태우,KBO,1999년 09월 15일,1군기록없음
74536,김태우,은퇴,1985년 03월 09일,1군기록없음
64984,김태진,KBO,1995년 10월 07일,15_16_18_19_NC
62949,김태진,은퇴,1989년 11월 23일,1군기록없음
90214,김태형,은퇴,1967년 09월 12일,1군기록없음
91153,김태형,은퇴,1972년 04월 25일,1군기록없음
62918,김태형,Futures,1993년 07월 07일,18_LG
67122,김태형,KBO,1998년 09월 17일,18_LG
60630,김태훈,은퇴,1987년 09월 28일,11_기아
73416,김태훈,은퇴,1980년 04월 23일,1군기록없음
65040,김태훈,은퇴,1996년 03월 31일,15_KT
79847,김태훈,KBO,1990년 05월 19일,10_12_15_19_SK
65343,김택형,KBO,1996년 10월 10일,
99302,김필중,은퇴,1975년 05월 16일,
64300,김하성,KBO,1995년 10월 17일,
64960,김학성,Futures,1991년 06월 15일,
65345,김해수,은퇴,1996년 12월 13일,
61404,김헌곤,KBO,1988년 11월 09일,
77748,김혁민,은퇴,1987년 05월 24일,
76290,김현수,KBO,1988년 01월 12일,10_15_두산_18_19_LG
72442,김현수,은퇴,1984년 01월 19일,1군기록없음
69516,김현수,KBO,2000년 07월 10일,19_롯데
69518,김현우,Futures,2000년 04월 07일,1군기록없음
62569,김현우,은퇴,1989년 08월 22일,1군기록없음
60457,김현우,은퇴,1988년 01월 21일,10_13_17_삼성
60469,김형준,은퇴,1984년 05월 11일,1군기록없음
68912,김형준,KBO,1999년 11월 02일,18_19_NC
73827,김형철,은퇴,1980년 05월 26일,
67304,김혜성,KBO,1999년 01월 27일,
65653,김호령,Futures,1992년 04월 30일,
64407,김호재,KBO,1995년 05월 31일,
66309,김홍빈,은퇴,1996년 09월 16일,
79705,김회성,KBO,1985년 12월 04일,
76454,김효남,은퇴,1983년 03월 26일,
64492,김희석,은퇴,1990년 02월 25일,
66508,나경민,KBO,1991년 12월 12일,
64440,나바로,은퇴,1987년 10월 31일,
62947,나성범,KBO,1989년 10월 03일,
61742,나성용,은퇴,1988년 01월 05일,
76529,나승현,은퇴,1987년 04월 06일,
67454,나원탁,은퇴,1994년 08월 20일,
79430,나이트,은퇴,1975년 10월 01일,
67539,나종덕,KBO,1998년 03월 16일,
73209,나주환,KBO,1984년 06월 14일,
78629,나지완,KBO,1985년 05월 19일,
65264,남경호,은퇴,1996년 04월 07일,
62011,남윤성,Futures,1987년 08월 04일,1군기록없음
67840,남윤성,은퇴,1987년 08월 04일,18_SK
66660,남재현,Futures,1996년 09월 13일,
66052,남태혁,KBO,1991년 03월 13일,
73211,노경은,은퇴,1984년 03월 11일,
66804,노관현,은퇴,1993년 10월 18일,
62920,노성호,KBO,1989년 10월 22일,
63704,노수광,KBO,1990년 08월 06일,
69737,노시환,KBO,2000년 12월 03일,
78149,노진용,은퇴,1990년 02월 15일,
62931,노진혁,KBO,1989년 07월 15일,
79859,니코스키,은퇴,1973년 03월 09일,
61240,니퍼트,은퇴,1981년 05월 06일,
67815,다이아몬드,은퇴,1986년 07월 30일,
69861,다익손,KBO,1994년 07월 02일,
66306,대니돈,은퇴,1984년 07월 20일,
65052,댄블랙,은퇴,1987년 07월 02일,
60139,더마트레,은퇴,1981년 07월 12일,
60729,데폴라,은퇴,1982년 12월 31일,
66965,도태훈,Futures,1993년 03월 18일,
68526,듀브론트,은퇴,1987년 10월 23일,
66825,라라,은퇴,1988년 12월 20일,
61230,라미레즈,은퇴,1982년 09월 16일,1군기록없음
62699,라미레즈,은퇴,1979년 11월 24일,12_기아
60649,라이트,은퇴,1982년 03월 13일,
67450,러프,KBO,1986년 07월 28일,
67423,레나도,은퇴,1989년 09월 09일,
60430,레딩,은퇴,1978년 02월 12일,
66446,레온,은퇴,1988년 09월 06일,
63857,레이예스,은퇴,1984년 11월 20일,
65546,레일리,KBO,1988년 06월 29일,
67134,로니,은퇴,1984년 05월 07일,
60650,로드리게스,은퇴,1978년 05월 21일,1군기록없음
77649,로드리게스,은퇴,1972년 09월 09일,1군기록없음
63462,로드리게스,은퇴,1987년 12월 13일,13_삼성
67872,로맥,KBO,1985년 09월 30일,
65233,로메로,은퇴,1986년 09월 24일,
66740,로사리오,은퇴,1989년 02월 23일,
66050,로위,은퇴,1984년 12월 26일,
65742,로저스,은퇴,1985년 08월 14일,
67033,로치,은퇴,1989년 12월 14일,
64302,로티노,은퇴,1980년 04월 07일,
79644,로페즈,은퇴,1975년 04월 21일,10_12_기아_13_SK
74430,로페즈,은퇴,1974년 10월 15일,1군기록없음
67025,로하스,KBO,1990년 05월 24일,
65203,루츠,은퇴,1986년 06월 03일,
69940,루친스키,KBO,1988년 12월 30일,
65137,루카스,은퇴,1985년 06월 03일,
66615,류승현,KBO,1997년 07월 01일,
76656,류은재,은퇴,1983년 12월 13일,
65908,류재인,Futures,1996년 05월 06일,
63111,류제국,KBO,1983년 05월 30일,
62234,류지혁,KBO,1994년 01월 13일,
94228,류택현,은퇴,1971년 10월 23일,
76715,류현진,은퇴,1987년 03월 25일,
64164,류형우,KBO,1995년 05월 07일,
64029,류희운,KBO,1995년 06월 19일,
64157,리오단,은퇴,1986년 05월 25일,
61158,리즈,은퇴,1983년 10월 06일,
65543,린드블럼,KBO,1987년 06월 15일,
62967,마낙길,은퇴,1989년 06월 22일,
65005,마르테,은퇴,1983년 10월 21일,
66049,마리몬,은퇴,1988년 09월 30일,
62859,마리오,은퇴,1984년 12월 16일,
64219,마야,은퇴,1981년 08월 28일,
66748,마에스트리,은퇴,1985년 07월 01일,
70329,마일영,은퇴,1981년 05월 28일,
72749,마정길,은퇴,1979년 03월 13일,
64430,마틴,은퇴,1983년 01월 02일,14_삼성
74125,마틴,은퇴,1967년 11월 24일,1군기록없음
61854,매그레인,은퇴,1978년 07월 23일,
61444,매티스,은퇴,1983년 06월 07일,
69413,맥과이어,KBO,1989년 06월 23일,
66324,맥그레거,은퇴,1986년 12월 19일,
66523,맥스웰,은퇴,1983년 11월 06일,
67948,맨쉽,은퇴,1985년 01월 16일,
61495,명재철,은퇴,1989년 01월 17일,
65733,모건,은퇴,1980년 07월 02일,
67024,모넬,은퇴,1986년 03월 27일,
76469,모상기,은퇴,1987년 01월 03일,
78813,모창민,KBO,1985년 05월 08일,
65643,문경찬,KBO,1992년 07월 08일,
60845,문광은,KBO,1987년 11월 09일,
72546,문규현,KBO,1983년 07월 05일,
64554,문동욱,KBO,1992년 01월 07일,
64007,문상철,KBO,1991년 04월 06일,
60464,문선엽,은퇴,1991년 07월 31일,
79113,문선재,KBO,1990년 05월 20일,
68119,문성주,은퇴,1997년 02월 20일,
60336,문성현,KBO,1991년 11월 09일,
72643,문수호,은퇴,1983년 06월 04일,
62869,문승원,KBO,1989년 11월 28일,
61363,문우람,은퇴,1992년 03월 08일,
61767,문재현,KBO,1992년 03월 06일,
74130,민경수,은퇴,1981년 05월 19일,10_LG
79557,민경수,은퇴,1986년 03월 20일,1군기록없음
76249,민병헌,KBO,1987년 03월 10일,
78366,민태호,KBO,1989년 09월 12일,
99323,바워스,은퇴,1971년 05월 02일,1군기록없음
73322,바워스,은퇴,1971년 07월 27일,1군기록없음
61727,바티스타,은퇴,1980년 08월 23일,
79215,박건우,KBO,1990년 09월 08일,13_19_두산
74363,박건우,은퇴,1985년 04월 06일,10_11_LG_12_롯데
61763,박건우,은퇴,1992년 07월 01일,1군기록없음
73113,박경수,KBO,1984년 03월 31일,
92809,박경완,은퇴,1972년 07월 11일,
76653,박경태,KBO,1987년 09월 02일,
64468,박계범,KBO,1996년 01월 11일,
61893,박계현,은퇴,1992년 03월 08일,
64944,박광열,Futures,1995년 08월 28일,
74630,박근홍,KBO,1985년 08월 22일,
74103,박기남,은퇴,1981년 08월 14일,
70553,박기혁,은퇴,1981년 06월 04일,
74756,박노민,은퇴,1985년 08월 18일,
79365,박동원,KBO,1990년 04월 07일,
96251,박명환,은퇴,1977년 06월 07일,
